time;V(/VOUT);V(Net-_D1-K_);
0.0135018;3.61582;1.71777;
0.0136018;3.61137;1.71351;
0.0137018;3.61582;1.71777;
0.0138018;3.61137;1.71351;
0.0139018;3.61582;1.71777;
0.0140018;3.61137;1.71351;
0.0141018;3.61582;1.71777;
0.0142018;3.61137;1.71351;
0.0143018;3.61582;1.71777;
0.0144018;3.61137;1.71351;
0.0145018;3.61582;1.71777;
0.0146018;3.61137;1.71351;
0.0147018;3.61582;1.71777;
0.0148018;3.61137;1.71351;
0.0149018;3.61582;1.71777;
0.0150018;3.61137;1.71351;
0.0151018;3.61582;1.71777;
0.0152018;3.61137;1.71351;
0.0153018;3.61582;1.71777;
0.0154018;3.61137;1.71351;
0.0155018;3.61582;1.71777;
0.0156018;3.61137;1.71351;
0.0157018;3.61582;1.71777;
0.0158018;3.61137;1.71351;
0.0159018;3.61582;1.71777;
0.0160018;3.61137;1.71351;
0.0161018;3.61582;1.71777;
0.0162018;3.61137;1.71351;
0.0163018;3.61582;1.71777;
0.0164018;3.61137;1.71351;
0.0165018;3.61582;1.71777;
0.0166018;3.61137;1.71351;
0.0167018;3.61582;1.71777;
0.0168018;3.61137;1.71351;
0.0169018;3.61582;1.71777;
0.0170018;3.61137;1.71351;
0.0171018;3.61582;1.71777;
0.0172018;3.61137;1.71351;
0.0173018;3.61582;1.71777;
0.0174018;3.61137;1.71351;
0.0175018;3.61582;1.71777;
0.0176018;3.61137;1.71351;
0.0177018;3.61582;1.71777;
0.0178018;3.61137;1.71351;
0.0179018;3.61582;1.71777;
0.0180018;3.61137;1.71351;
0.0181018;3.61582;1.71777;
0.0182018;3.61137;1.71351;
0.0183018;3.61582;1.71777;
0.0184018;3.61137;1.71351;
0.0185018;3.61582;1.71777;
0.0186018;3.61137;1.71351;
0.0187018;3.61582;1.71777;
0.0188018;3.61137;1.71351;
0.0189018;3.61582;1.71777;
0.0190018;3.61137;1.71351;
0.0191018;3.61582;1.71777;
0.0192018;3.61137;1.71351;
0.0193018;3.61582;1.71777;
0.0194018;3.61137;1.71351;
0.0195018;3.61582;1.71777;
0.0196018;3.61137;1.71351;
0.0197018;3.61582;1.71777;
0.0198018;3.61137;1.71351;
0.0199018;3.61582;1.71777;
0.0200018;3.61137;1.71351;
0.0201018;3.61582;1.71777;
0.0202018;3.61137;1.71351;
0.0203018;3.61582;1.71777;
0.0204018;3.61137;1.71351;
0.0205018;3.61582;1.71777;
0.0206018;3.61137;1.71351;
0.0207018;3.61582;1.71777;
0.0208018;3.61137;1.71351;
0.0209018;3.61582;1.71777;
0.0210018;3.61137;1.71351;
0.0211018;3.61582;1.71777;
0.0212018;3.61137;1.71351;
0.0213018;3.61582;1.71777;
0.0214018;3.61137;1.71351;
0.0215018;3.61582;1.71777;
0.0216018;3.61137;1.71351;
0.0217018;3.61582;1.71777;
0.0218018;3.61137;1.71351;
0.0219018;3.61582;1.71777;
0.0220018;3.61137;1.71351;
0.0221018;3.61582;1.71777;
0.0222018;3.61137;1.71351;
0.0223018;3.61582;1.71777;
0.0224018;3.61137;1.71351;
0.0225018;3.61582;1.71777;
0.0226018;3.61137;1.71351;
0.0227018;3.61582;1.71777;
0.0228018;3.61137;1.71351;
0.0229018;3.61582;1.71777;
0.0230018;3.61137;1.71351;
0.0231018;3.61582;1.71777;
0.0232018;3.61137;1.71351;
0.0233018;3.61582;1.71777;
0.0234018;3.61137;1.71351;
0.0235018;3.61582;1.71777;
0.0236018;3.61137;1.71351;
0.0237018;3.61582;1.71777;
0.0238018;3.61137;1.71351;
0.0239018;3.61582;1.71777;
0.0240018;3.61137;1.71351;
0.0241018;3.61582;1.71777;
0.0242018;3.61137;1.71351;
0.0243018;3.61582;1.71777;
0.0244018;3.61137;1.71351;
0.0245018;3.61582;1.71777;
0.0246018;3.61137;1.71351;
0.0247018;3.61582;1.71777;
0.0248018;3.61137;1.71351;
0.0249018;3.61582;1.71777;
0.0250018;3.61137;1.71351;
0.0251018;3.61582;1.71777;
0.0252018;3.61137;1.71351;
0.0253018;3.61582;1.71777;
0.0254018;3.61137;1.71351;
0.0255018;3.61582;1.71777;
0.0256018;3.61137;1.71351;
0.0257018;3.61582;1.71777;
0.0258018;3.61137;1.71351;
0.0259018;3.61582;1.71777;
0.0260018;3.61137;1.71351;
0.0261018;3.61582;1.71777;
0.0262018;3.61137;1.71351;
0.0263018;3.61582;1.71777;
0.0264018;3.61137;1.71351;
0.0265018;3.61582;1.71777;
0.0266018;3.61137;1.71351;
0.0267018;3.61582;1.71777;
0.0268018;3.61137;1.71351;
0.0269018;3.61582;1.71777;
0.0270018;3.61137;1.71351;
0.0271018;3.61582;1.71777;
0.0272018;3.61137;1.71351;
0.0273018;3.61582;1.71777;
0.0274018;3.61137;1.71351;
0.0275018;3.61582;1.71777;
0.0276018;3.61137;1.71351;
0.0277018;3.61582;1.71777;
0.0278018;3.61137;1.71351;
0.0279018;3.61582;1.71777;
0.0280018;3.61137;1.71351;
0.0281018;3.61582;1.71777;
0.0282018;3.61137;1.71351;
0.0283018;3.61582;1.71777;
0.0284018;3.61137;1.71351;
0.0285018;3.61582;1.71777;
0.0286018;3.61137;1.71351;
0.0287018;3.61582;1.71777;
0.0288018;3.61137;1.71351;
0.0289018;3.61582;1.71777;
0.0290018;3.61137;1.71351;
0.0291018;3.61582;1.71777;
0.0292018;3.61137;1.71351;
0.0293018;3.61582;1.71777;
0.0294018;3.61137;1.71351;
0.0295018;3.61582;1.71777;
0.0296018;3.61137;1.71351;
0.0297018;3.61582;1.71777;
0.0298018;3.61137;1.71351;
0.0299018;3.61582;1.71777;
0.0300018;3.61137;1.71351;
0.0301018;3.61582;1.71777;
0.0302018;3.61137;1.71351;
0.0303018;3.61582;1.71777;
0.0304018;3.61137;1.71351;
0.0305018;3.61582;1.71777;
0.0306018;3.61137;1.71351;
0.0307018;3.61582;1.71777;
0.0308018;3.61137;1.71351;
0.0309018;3.61582;1.71777;
0.0310018;3.61137;1.71351;
0.0311018;3.61582;1.71777;
0.0312018;3.61137;1.71351;
0.0313018;3.61582;1.71777;
0.0314018;3.61137;1.71351;
0.0315018;3.61582;1.71777;
0.0316018;3.61137;1.71351;
0.0317018;3.61582;1.71777;
0.0318018;3.61137;1.71351;
0.0319018;3.61582;1.71777;
0.0320018;3.61137;1.71351;
0.0321018;3.61582;1.71777;
0.0322018;3.61137;1.71351;
0.0323018;3.61582;1.71777;
0.0324018;3.61137;1.71351;
0.0325018;3.61582;1.71777;
0.0326018;3.61137;1.71351;
0.0327018;3.61582;1.71777;
0.0328018;3.61137;1.71351;
0.0329018;3.61582;1.71777;
0.0330018;3.61137;1.71351;
0.0331018;3.61582;1.71777;
0.0332018;3.61137;1.71351;
0.0333018;3.61582;1.71777;
0.0334018;3.61137;1.71351;
0.0335018;3.61582;1.71777;
0.0336018;3.61137;1.71351;
0.0337018;3.61582;1.71777;
0.0338018;3.61137;1.71351;
0.0339018;3.61582;1.71777;
0.0340018;3.61137;1.71351;
0.0341018;3.61582;1.71777;
0.0342018;3.61137;1.71351;
0.0343018;3.61582;1.71777;
0.0344018;3.61137;1.71351;
0.0345018;3.61582;1.71777;
0.0346018;3.61137;1.71351;
0.0347018;3.61582;1.71777;
0.0348018;3.61137;1.71351;
0.0349018;3.61582;1.71777;
0.0350018;3.61137;1.71351;
0.0351018;3.61582;1.71777;
0.0352018;3.61137;1.71351;
0.0353018;3.61582;1.71777;
0.0354018;3.61137;1.71351;
0.0355018;3.61582;1.71777;
0.0356018;3.61137;1.71351;
0.0357018;3.61582;1.71777;
0.0358018;3.61137;1.71351;
0.0359018;3.61582;1.71777;
0.0360018;3.61137;1.71351;
0.0361018;3.61582;1.71777;
0.0362018;3.61137;1.71351;
0.0363018;3.61582;1.71777;
0.0364018;3.61137;1.71351;
0.0365018;3.61582;1.71777;
0.0366018;3.61137;1.71351;
0.0367018;3.61582;1.71777;
0.0368018;3.61137;1.71351;
0.0369018;3.61582;1.71777;
0.0370018;3.61137;1.71351;
0.0371018;3.61582;1.71777;
0.0372018;3.61137;1.71351;
0.0373018;3.61582;1.71777;
0.0374018;3.61137;1.71351;
0.0375018;3.61582;1.71777;
0.0376018;3.61137;1.71351;
0.0377018;3.61582;1.71777;
0.0378018;3.61137;1.71351;
0.0379018;3.61582;1.71777;
0.0380018;3.61137;1.71351;
0.0381018;3.61582;1.71777;
0.0382018;3.61137;1.71351;
