time;V(/VCAP);V(/VOUT);
0.016628;1.87545;3.31959;
0.016728;1.87571;3.32382;
0.016828;1.87597;3.32797;
0.016928;1.87623;3.33203;
0.017028;1.87649;3.336;
0.017128;1.87675;3.33988;
0.017228;1.87701;3.34368;
0.017328;1.87727;3.34739;
0.017428;1.87753;3.35101;
0.017528;1.8778;3.35455;
0.017628;1.87806;3.35799;
0.017728;1.87832;3.36136;
0.017828;1.87858;3.36463;
0.017928;1.87884;3.36782;
0.018028;1.8791;3.37093;
0.018128;1.87936;3.37395;
0.018228;1.87962;3.37689;
0.018328;1.87988;3.37974;
0.018428;1.88014;3.38251;
0.018528;1.8804;3.3852;
0.018628;1.88066;3.38781;
0.018728;1.88092;3.39034;
0.018828;1.88118;3.39279;
0.018928;1.88144;3.39516;
0.019028;1.8817;3.39745;
0.019128;1.88196;3.39966;
0.019228;1.88222;3.40181;
0.019328;1.88248;3.40387;
0.019428;1.88274;3.40587;
0.019528;1.883;3.40779;
0.019628;1.88326;3.40965;
0.019728;1.88352;3.41143;
0.019828;1.88378;3.41315;
0.019928;1.88404;3.4148;
0.020028;1.8843;3.41639;
0.020128;1.88456;3.41791;
0.020228;1.88482;3.41938;
0.020328;1.88508;3.42078;
0.020428;1.88534;3.42213;
0.020528;1.88559;3.42342;
0.020628;1.88585;3.42465;
0.020728;1.88611;3.42583;
0.020828;1.88637;3.42696;
0.020928;1.88663;3.42804;
0.021028;1.88689;3.42907;
0.021128;1.88715;3.43005;
0.021228;1.88741;3.43099;
0.021328;1.88767;3.43189;
0.021428;1.88793;3.43274;
0.021528;1.88819;3.43355;
0.021628;1.88845;3.43432;
0.021728;1.88871;3.43506;
0.021828;1.88897;3.43576;
0.021928;1.88923;3.43642;
0.022028;1.88949;3.43705;
0.022128;1.88975;3.43765;
0.022228;1.89001;3.43822;
0.022328;1.89027;3.43876;
0.022428;1.89052;3.43927;
0.022528;1.89078;3.43975;
0.022628;1.89104;3.44021;
0.022728;1.8913;3.44065;
0.022828;1.89156;3.44106;
0.022928;1.89182;3.44145;
0.023028;1.89208;3.44182;
0.023128;1.89234;3.44216;
0.023228;1.8926;3.44249;
0.023328;1.89286;3.44281;
0.023428;1.89312;3.4431;
0.023528;1.89337;3.44338;
0.023628;1.89363;3.44364;
0.023728;1.89389;3.44389;
0.023828;1.89415;3.44412;
0.023928;1.89441;3.44434;
0.024028;1.89467;3.44455;
0.024128;1.89493;3.44475;
0.024228;1.89519;3.44493;
0.024328;1.89545;3.44511;
0.024428;1.8957;3.44527;
0.024528;1.89596;3.44543;
0.024628;1.89622;3.44558;
0.024728;1.89648;3.44571;
0.024828;1.89674;3.44584;
0.024928;1.897;3.44597;
0.025028;1.89726;3.44608;
0.025128;1.89752;3.44619;
0.025228;1.89777;3.44629;
0.025328;1.89803;3.44639;
0.025428;1.89829;3.44648;
0.025528;1.89855;3.44657;
0.025628;1.89881;3.44665;
0.025728;1.89907;3.44672;
0.025828;1.89933;3.4468;
0.025928;1.89958;3.44686;
0.026028;1.89984;3.44693;
0.026128;1.9001;3.44699;
0.026228;1.90036;3.44704;
0.026328;1.90062;3.4471;
0.026428;1.90088;3.44715;
0.026528;1.90113;3.44719;
0.026628;1.90139;3.44724;
0.026728;1.90165;3.44728;
0.026828;1.90191;3.44732;
0.026928;1.90217;3.44735;
0.027028;1.90243;3.44739;
0.027128;1.90268;3.44742;
0.027228;1.90294;3.44745;
0.027328;1.9032;3.44748;
0.027428;1.90346;3.44751;
0.027528;1.90372;3.44754;
0.027628;1.90398;3.44756;
0.027728;1.90423;3.44758;
0.027828;1.90449;3.4476;
0.027928;1.90475;3.44762;
0.028028;1.90501;3.44764;
0.028128;1.90527;3.44766;
0.028228;1.90552;3.44768;
0.028328;1.90578;3.44769;
0.028428;1.90604;3.44771;
0.028528;1.9063;3.44772;
0.028628;1.90655;3.44774;
0.028728;1.90681;3.44775;
0.028828;1.90707;3.44776;
0.028928;1.90733;3.44777;
0.029028;1.90759;3.44778;
0.029128;1.90784;3.44779;
0.029228;1.9081;3.4478;
0.029328;1.90836;3.44781;
0.029428;1.90862;3.44782;
0.029528;1.90887;3.44783;
0.029628;1.90913;3.44784;
0.029728;1.90939;3.44784;
0.029828;1.90965;3.44785;
0.029928;1.90991;3.44786;
0.030028;1.91016;3.44786;
0.030128;1.91042;3.44787;
0.030228;1.91068;3.44787;
0.030328;1.91094;3.44788;
0.030428;1.91119;3.44788;
0.030528;1.91145;3.44789;
0.030628;1.91171;3.44789;
0.030728;1.91197;3.4479;
0.030828;1.91222;3.4479;
0.030928;1.91248;3.4479;
0.031028;1.91274;3.44791;
0.031128;1.913;3.44791;
0.031228;1.91325;3.44791;
0.031328;1.91351;3.44791;
0.031428;1.91377;3.44792;
0.031528;1.91402;3.44792;
0.031628;1.91428;3.44792;
0.031728;1.91454;3.44792;
0.031828;1.9148;3.44793;
0.031928;1.91505;3.44793;
0.032028;1.91531;3.44793;
0.032128;1.91557;3.44793;
0.032228;1.91582;3.44793;
0.032328;1.91608;3.44794;
0.032428;1.91634;3.44794;
0.032528;1.9166;3.44794;
0.032628;1.91685;3.44794;
0.032728;1.91711;3.44794;
0.032828;1.91737;3.44794;
0.032928;1.91762;3.44794;
0.033028;1.91788;3.44795;
0.033128;1.91814;3.44795;
0.033228;1.91839;3.44795;
0.033328;1.91865;3.44795;
0.033428;1.91891;3.44795;
0.033528;1.91916;3.44795;
0.033628;1.91942;3.44795;
0.033728;1.91968;3.44795;
0.033828;1.91994;3.44795;
0.033928;1.92019;3.44795;
0.034028;1.92045;3.44795;
0.034128;1.92071;3.44795;
0.034228;1.92096;3.44795;
0.034328;1.92122;3.44796;
0.034428;1.92148;3.44796;
0.034528;1.92173;3.44796;
0.034628;1.92199;3.44796;
0.034728;1.92224;3.44796;
0.034828;1.9225;3.44796;
0.034928;1.92276;3.44796;
0.035028;1.92301;3.44796;
0.035128;1.92327;3.44796;
0.035228;1.92353;3.44796;
0.035328;1.92378;3.44796;
0.035428;1.92404;3.44796;
0.035528;1.9243;3.44796;
0.035628;1.92455;3.44796;
0.035728;1.92481;3.44796;
0.035828;1.92507;3.44796;
0.035928;1.92532;3.44796;
0.036028;1.92558;3.44796;
0.036128;1.92583;3.44796;
0.036228;1.92609;3.44796;
0.036328;1.92635;3.44796;
0.036428;1.9266;3.44796;
0.036528;1.92686;3.44796;
0.036628;1.92712;3.44796;
0.036728;1.92737;3.44796;
0.036828;1.92763;3.44796;
0.036928;1.92788;3.44796;
0.037028;1.92814;3.44796;
0.037128;1.9284;3.44796;
0.037228;1.92865;3.44796;
0.037328;1.92891;3.44796;
0.037428;1.92916;3.44796;
0.037528;1.92942;3.44796;
0.037628;1.92968;3.44796;
0.037728;1.92993;3.44796;
0.037828;1.93019;3.44796;
0.037928;1.93044;3.44796;
0.038028;1.9307;3.44796;
0.038128;1.93096;3.44796;
0.038228;1.93121;3.44796;
0.038328;1.93147;3.44796;
0.038428;1.93172;3.44796;
0.038528;1.93198;3.44796;
0.038628;1.93223;3.44796;
0.038728;1.93249;3.44796;
0.038828;1.93275;3.44796;
0.038928;1.933;3.44796;
0.039028;1.93326;3.44796;
0.039128;1.93351;3.44796;
0.039228;1.93377;3.44797;
0.039328;1.93402;3.44797;
0.039428;1.93428;3.44797;
0.039528;1.93453;3.44797;
0.039628;1.93479;3.44797;
0.039728;1.93505;3.44797;
0.039828;1.9353;3.44797;
0.039928;1.93556;3.44797;
0.040028;1.93581;3.44797;
0.040128;1.93607;3.44797;
0.040228;1.93632;3.44797;
0.040328;1.93658;3.44797;
0.040428;1.93683;3.44797;
0.040528;1.93709;3.44797;
0.040628;1.93734;3.44797;
0.040728;1.9376;3.44797;
0.040828;1.93785;3.44797;
0.040928;1.93811;3.44797;
0.041028;1.93836;3.44797;
0.041128;1.93862;3.44797;
0.041228;1.93888;3.44797;
0.041328;1.93913;3.44797;
0.041428;1.93939;3.44797;
0.041528;1.93964;3.44797;
0.041628;1.9399;3.44797;
