time;V(/VCAP);V(/VOUT);
0.0116018;1.87316;3.61137;
0.0117018;1.87361;3.61582;
0.0118018;1.87405;3.61137;
0.0119018;1.8745;3.61582;
0.0120018;1.87495;3.61137;
0.0121018;1.87539;3.61582;
0.0122018;1.87584;3.61137;
0.0123018;1.87629;3.61582;
0.0124018;1.87673;3.61137;
0.0125018;1.87718;3.61582;
0.0126018;1.87762;3.61137;
0.0127018;1.87807;3.61582;
0.0128018;1.87852;3.61137;
0.0129018;1.87896;3.61582;
0.0130018;1.87941;3.61137;
0.0131018;1.87985;3.61582;
0.0132018;1.8803;3.61137;
0.0133018;1.88075;3.61582;
0.0134018;1.88119;3.61137;
0.0135018;1.88164;3.61582;
0.0136018;1.88208;3.61137;
0.0137018;1.88253;3.61582;
0.0138018;1.88297;3.61137;
0.0139018;1.88342;3.61582;
0.0140018;1.88386;3.61137;
0.0141018;1.88431;3.61582;
0.0142018;1.88475;3.61137;
0.0143018;1.8852;3.61582;
0.0144018;1.88564;3.61137;
0.0145018;1.88609;3.61582;
0.0146018;1.88653;3.61137;
0.0147018;1.88698;3.61582;
0.0148018;1.88742;3.61137;
0.0149018;1.88787;3.61582;
0.0150018;1.88831;3.61137;
0.0151018;1.88876;3.61582;
0.0152018;1.8892;3.61137;
0.0153018;1.88965;3.61582;
0.0154018;1.89009;3.61137;
0.0155018;1.89054;3.61582;
0.0156018;1.89098;3.61137;
0.0157018;1.89142;3.61582;
0.0158018;1.89187;3.61137;
0.0159018;1.89231;3.61582;
0.0160018;1.89276;3.61137;
0.0161018;1.8932;3.61582;
0.0162018;1.89364;3.61137;
0.0163018;1.89409;3.61582;
0.0164018;1.89453;3.61137;
0.0165018;1.89498;3.61582;
0.0166018;1.89542;3.61137;
0.0167018;1.89586;3.61582;
0.0168018;1.89631;3.61137;
0.0169018;1.89675;3.61582;
0.0170018;1.89719;3.61137;
0.0171018;1.89764;3.61582;
0.0172018;1.89808;3.61137;
0.0173018;1.89852;3.61582;
0.0174018;1.89897;3.61137;
