time;I(D1);P(R3);V(/VOUT);V(Net-_D1-K_);
0.00623273;0.00519239;0.00889711;3.61135;1.71349;
0.00623299;0.00520565;0.00894261;3.61592;1.71787;
0.00623336;0.00519248;0.00889741;3.61138;1.71352;
0.0062341;0.00520543;0.00894179;3.61584;1.71779;
0.00623542;0.00519257;0.00889771;3.61141;1.71355;
0.00623806;0.00520538;0.00894163;3.61583;1.71778;
0.00624334;0.00519245;0.00889724;3.61136;1.71351;
0.00625391;0.00520538;0.0089416;3.61582;1.71777;
0.00627503;0.00519245;0.00889724;3.61136;1.71351;
0.00631729;0.00520537;0.0089416;3.61582;1.71777;
0.0064018;0.00519245;0.00889724;3.61136;1.71351;
0.0065018;0.00520537;0.0089416;3.61582;1.71777;
0.0066018;0.00519245;0.00889724;3.61136;1.71351;
0.0067018;0.00520537;0.0089416;3.61582;1.71777;
0.0068018;0.00519245;0.00889724;3.61136;1.71351;
0.0069018;0.00520537;0.0089416;3.61582;1.71777;
0.0070018;0.00519245;0.00889724;3.61136;1.71351;
0.0071018;0.00520537;0.0089416;3.61582;1.71777;
0.0072018;0.00519245;0.00889724;3.61136;1.71351;
0.0073018;0.00520537;0.0089416;3.61582;1.71777;
0.0074018;0.00519245;0.00889724;3.61136;1.71351;
0.0075018;0.00520537;0.0089416;3.61582;1.71777;
0.0076018;0.00519245;0.00889724;3.61136;1.71351;
0.0077018;0.00520537;0.0089416;3.61582;1.71777;
0.0078018;0.00519245;0.00889724;3.61136;1.71351;
0.0079018;0.00520537;0.0089416;3.61582;1.71777;
0.0080018;0.00519245;0.00889724;3.61136;1.71351;
0.0081018;0.00520537;0.0089416;3.61582;1.71777;
0.0082018;0.00519245;0.00889724;3.61136;1.71351;
0.0083018;0.00520537;0.0089416;3.61582;1.71777;
0.0084018;0.00519245;0.00889724;3.61137;1.71351;
0.0085018;0.00520537;0.0089416;3.61582;1.71777;
0.0086018;0.00519245;0.00889724;3.61137;1.71351;
0.0087018;0.00520537;0.0089416;3.61582;1.71777;
0.0088018;0.00519245;0.00889725;3.61137;1.71351;
0.0089018;0.00520537;0.0089416;3.61582;1.71777;
0.0090018;0.00519245;0.00889725;3.61137;1.71351;
0.0091018;0.00520537;0.0089416;3.61582;1.71777;
0.0092018;0.00519245;0.00889725;3.61137;1.71351;
0.0093018;0.00520537;0.0089416;3.61582;1.71777;
0.0094018;0.00519245;0.00889725;3.61137;1.71351;
0.0095018;0.00520537;0.0089416;3.61582;1.71777;
0.0096018;0.00519245;0.00889725;3.61137;1.71351;
0.0097018;0.00520537;0.0089416;3.61582;1.71777;
0.0098018;0.00519245;0.00889725;3.61137;1.71351;
0.0099018;0.00520537;0.0089416;3.61582;1.71777;
0.0100018;0.00519245;0.00889725;3.61137;1.71351;
0.0101018;0.00520537;0.0089416;3.61582;1.71777;
0.0102018;0.00519245;0.00889725;3.61137;1.71351;
0.0103018;0.00520537;0.0089416;3.61582;1.71777;
0.0104018;0.00519245;0.00889725;3.61137;1.71351;
0.0105018;0.00520537;0.00894159;3.61582;1.71777;
0.0106018;0.00519245;0.00889725;3.61137;1.71351;
0.0107018;0.00520537;0.00894159;3.61582;1.71777;
0.0108018;0.00519245;0.00889725;3.61137;1.71351;
0.0109018;0.00520537;0.00894159;3.61582;1.71777;
0.0110018;0.00519245;0.00889725;3.61137;1.71351;
0.0111018;0.00520537;0.00894159;3.61582;1.71777;
0.0112018;0.00519245;0.00889725;3.61137;1.71351;
0.0113018;0.00520537;0.00894159;3.61582;1.71777;
0.0114018;0.00519245;0.00889725;3.61137;1.71351;
0.0115018;0.00520537;0.00894159;3.61582;1.71777;
0.0116018;0.00519245;0.00889725;3.61137;1.71351;
0.0117018;0.00520537;0.00894159;3.61582;1.71777;
0.0118018;0.00519245;0.00889725;3.61137;1.71351;
0.0119018;0.00520537;0.00894159;3.61582;1.71777;
0.0120018;0.00519245;0.00889725;3.61137;1.71351;
0.0121018;0.00520537;0.00894159;3.61582;1.71777;
0.0122018;0.00519245;0.00889725;3.61137;1.71351;
0.0123018;0.00520537;0.00894159;3.61582;1.71777;
0.0124018;0.00519245;0.00889725;3.61137;1.71351;
0.0125018;0.00520537;0.00894159;3.61582;1.71777;
0.0126018;0.00519245;0.00889725;3.61137;1.71351;
0.0127018;0.00520537;0.00894159;3.61582;1.71777;
0.0128018;0.00519245;0.00889725;3.61137;1.71351;
0.0129018;0.00520537;0.00894159;3.61582;1.71777;
0.0130018;0.00519245;0.00889725;3.61137;1.71351;
0.0131018;0.00520537;0.00894159;3.61582;1.71777;
0.0132018;0.00519245;0.00889725;3.61137;1.71351;
0.0133018;0.00520537;0.00894159;3.61582;1.71777;
0.0134018;0.00519245;0.00889725;3.61137;1.71351;
0.0135018;0.00520537;0.00894159;3.61582;1.71777;
0.0136018;0.00519245;0.00889725;3.61137;1.71351;
0.0137018;0.00520537;0.00894159;3.61582;1.71777;
0.0138018;0.00519245;0.00889725;3.61137;1.71351;
0.0139018;0.00520537;0.00894159;3.61582;1.71777;
0.0140018;0.00519245;0.00889725;3.61137;1.71351;
0.0141018;0.00520537;0.00894159;3.61582;1.71777;
0.0142018;0.00519245;0.00889725;3.61137;1.71351;
0.0143018;0.00520537;0.00894159;3.61582;1.71777;
0.0144018;0.00519245;0.00889725;3.61137;1.71351;
0.0145018;0.00520537;0.00894159;3.61582;1.71777;
0.0146018;0.00519245;0.00889726;3.61137;1.71351;
0.0147018;0.00520537;0.00894159;3.61582;1.71777;
0.0148018;0.00519245;0.00889726;3.61137;1.71351;
0.0149018;0.00520537;0.00894159;3.61582;1.71777;
0.0150018;0.00519245;0.00889726;3.61137;1.71351;
0.0151018;0.00520537;0.00894159;3.61582;1.71777;
0.0152018;0.00519245;0.00889726;3.61137;1.71351;
0.0153018;0.00520537;0.00894159;3.61582;1.71777;
0.0154018;0.00519245;0.00889726;3.61137;1.71351;
0.0155018;0.00520537;0.00894159;3.61582;1.71777;
0.0156018;0.00519245;0.00889726;3.61137;1.71351;
0.0157018;0.00520537;0.00894159;3.61582;1.71777;
0.0158018;0.00519245;0.00889726;3.61137;1.71351;
0.0159018;0.00520537;0.00894159;3.61582;1.71777;
0.0160018;0.00519245;0.00889726;3.61137;1.71351;
0.0161018;0.00520537;0.00894159;3.61582;1.71777;
0.0162018;0.00519245;0.00889726;3.61137;1.71351;
0.0163018;0.00520537;0.00894159;3.61582;1.71777;
0.0164018;0.00519245;0.00889726;3.61137;1.71351;
0.0165018;0.00520537;0.00894159;3.61582;1.71777;
0.0166018;0.00519245;0.00889726;3.61137;1.71351;
0.0167018;0.00520537;0.00894159;3.61582;1.71777;
0.0168018;0.00519245;0.00889726;3.61137;1.71351;
0.0169018;0.00520537;0.00894158;3.61582;1.71777;
0.0170018;0.00519245;0.00889726;3.61137;1.71351;
0.0171018;0.00520537;0.00894158;3.61582;1.71777;
0.0172018;0.00519245;0.00889726;3.61137;1.71351;
0.0173018;0.00520537;0.00894158;3.61582;1.71777;
0.0174018;0.00519245;0.00889726;3.61137;1.71351;
0.0175018;0.00520537;0.00894158;3.61582;1.71777;
0.0176018;0.00519245;0.00889726;3.61137;1.71351;
0.0177018;0.00520537;0.00894158;3.61582;1.71777;
0.0178018;0.00519245;0.00889726;3.61137;1.71351;
0.0179018;0.00520537;0.00894158;3.61582;1.71777;
0.0180018;0.00519245;0.00889726;3.61137;1.71351;
0.0181018;0.00520537;0.00894158;3.61582;1.71777;
0.0182018;0.00519245;0.00889726;3.61137;1.71351;
0.0183018;0.00520537;0.00894158;3.61582;1.71777;
0.0184018;0.00519245;0.00889726;3.61137;1.71351;
0.0185018;0.00520537;0.00894158;3.61582;1.71777;
0.0186018;0.00519245;0.00889726;3.61137;1.71351;
0.0187018;0.00520537;0.00894158;3.61582;1.71777;
0.0188018;0.00519245;0.00889726;3.61137;1.71351;
0.0189018;0.00520537;0.00894158;3.61582;1.71777;
0.0190018;0.00519245;0.00889726;3.61137;1.71351;
0.0191018;0.00520537;0.00894158;3.61582;1.71777;
0.0192018;0.00519245;0.00889726;3.61137;1.71351;
0.0193018;0.00520537;0.00894158;3.61582;1.71777;
0.0194018;0.00519245;0.00889726;3.61137;1.71351;
0.0195018;0.00520537;0.00894158;3.61582;1.71777;
0.0196018;0.00519245;0.00889726;3.61137;1.71351;
0.0197018;0.00520537;0.00894158;3.61582;1.71777;
0.0198018;0.00519245;0.00889727;3.61137;1.71351;
0.0199018;0.00520537;0.00894158;3.61582;1.71777;
0.0200018;0.00519245;0.00889727;3.61137;1.71351;
0.0201018;0.00520537;0.00894158;3.61582;1.71777;
0.0202018;0.00519245;0.00889727;3.61137;1.71351;
0.0203018;0.00520537;0.00894158;3.61582;1.71777;
0.0204018;0.00519245;0.00889727;3.61137;1.71351;
0.0205018;0.00520537;0.00894158;3.61582;1.71777;
0.0206018;0.00519245;0.00889727;3.61137;1.71351;
0.0207018;0.00520537;0.00894158;3.61582;1.71777;
0.0208018;0.00519245;0.00889727;3.61137;1.71351;
0.0209018;0.00520537;0.00894158;3.61582;1.71777;
0.0210018;0.00519245;0.00889727;3.61137;1.71351;
0.0211018;0.00520537;0.00894158;3.61582;1.71777;
0.0212018;0.00519245;0.00889727;3.61137;1.71351;
0.0213018;0.00520537;0.00894158;3.61582;1.71777;
0.0214018;0.00519245;0.00889727;3.61137;1.71351;
0.0215018;0.00520537;0.00894158;3.61582;1.71777;
0.0216018;0.00519245;0.00889727;3.61137;1.71351;
0.0217018;0.00520537;0.00894158;3.61582;1.71777;
0.0218018;0.00519246;0.00889727;3.61137;1.71351;
0.0219018;0.00520537;0.00894158;3.61582;1.71777;
0.0220018;0.00519246;0.00889727;3.61137;1.71351;
0.0221018;0.00520537;0.00894158;3.61582;1.71777;
0.0222018;0.00519246;0.00889727;3.61137;1.71351;
0.0223018;0.00520537;0.00894158;3.61582;1.71777;
0.0224018;0.00519246;0.00889727;3.61137;1.71351;
0.0225018;0.00520537;0.00894157;3.61582;1.71777;
0.0226018;0.00519246;0.00889727;3.61137;1.71351;
